epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.58196,1.74637,0.62712,0.9661,1.43652,0.00013,0.00013,0.00013
2,19.7592,1.3211,0.89831,1,0.91333,0.000264654,0.000264654,0.000264654
3,27.0715,0.84461,0.91525,1,0.38953,0.000393764,0.000393764,0.000393764
4,34.2182,0.51675,0.98305,1,0.16943,0.00051733,0.00051733,0.00051733
5,41.682,0.24131,1,1,0.08374,0.000635352,0.000635352,0.000635352
6,50.1357,0.11626,1,1,0.03101,0.00074783,0.00074783,0.00074783
7,59.1855,0.08277,1,1,0.02225,0.000854764,0.000854764,0.000854764
8,66.3581,0.08116,1,1,0.01227,0.0008614,0.0008614,0.0008614
9,73.649,0.19324,0.98305,1,0.0329,0.0008416,0.0008416,0.0008416
10,80.686,0.05285,1,1,0.00638,0.0008218,0.0008218,0.0008218
11,87.504,0.0449,1,1,0.00636,0.000802,0.000802,0.000802
12,94.3683,0.03262,1,1,0.00566,0.0007822,0.0007822,0.0007822
13,101.178,0.03214,1,1,0.00432,0.0007624,0.0007624,0.0007624
14,108.371,0.06049,1,1,0.01967,0.0007426,0.0007426,0.0007426
15,115.486,0.16453,1,1,0.00426,0.0007228,0.0007228,0.0007228
16,122.822,0.04979,1,1,0.00831,0.000703,0.000703,0.000703
17,130.643,0.05967,1,1,0.01313,0.0006832,0.0006832,0.0006832
18,138.007,0.30871,0.98305,1,0.03597,0.0006634,0.0006634,0.0006634
19,144.895,0.05441,1,1,0.00908,0.0006436,0.0006436,0.0006436
20,152.079,0.04786,1,1,0.00813,0.0006238,0.0006238,0.0006238
21,159.291,0.01618,1,1,0.01055,0.000604,0.000604,0.000604
22,166.683,0.2024,1,1,0.00948,0.0005842,0.0005842,0.0005842
23,175.209,0.10028,1,1,0.00668,0.0005644,0.0005644,0.0005644
24,183.659,0.0111,1,1,0.0073,0.0005446,0.0005446,0.0005446
25,192.168,0.01546,1,1,0.00959,0.0005248,0.0005248,0.0005248
26,200.322,0.02634,1,1,0.00875,0.000505,0.000505,0.000505
27,208.692,0.05877,1,1,0.0075,0.0004852,0.0004852,0.0004852
28,216.956,0.01391,1,1,0.0068,0.0004654,0.0004654,0.0004654
29,224.676,0.03255,1,1,0.00881,0.0004456,0.0004456,0.0004456
30,231.843,0.02492,1,1,0.00943,0.0004258,0.0004258,0.0004258
31,238.806,0.03387,1,1,0.00692,0.000406,0.000406,0.000406
32,245.737,0.03642,1,1,0.00239,0.0003862,0.0003862,0.0003862
33,252.93,0.01756,1,1,0.0025,0.0003664,0.0003664,0.0003664
34,260.157,0.04541,1,1,0.00271,0.0003466,0.0003466,0.0003466
35,268.343,0.17905,1,1,0.00378,0.0003268,0.0003268,0.0003268
36,276.728,0.01975,1,1,0.00613,0.000307,0.000307,0.000307
37,285.782,0.15044,1,1,0.00318,0.0002872,0.0002872,0.0002872
38,293.992,0.01794,1,1,0.00268,0.0002674,0.0002674,0.0002674
39,301.309,0.03371,1,1,0.00302,0.0002476,0.0002476,0.0002476
40,309.391,0.04017,1,1,0.00455,0.0002278,0.0002278,0.0002278
41,316.726,0.02656,1,1,0.00632,0.000208,0.000208,0.000208
42,323.865,0.01697,1,1,0.00767,0.0001882,0.0001882,0.0001882
43,330.832,0.03397,1,1,0.00657,0.0001684,0.0001684,0.0001684
44,337.812,0.14571,0.98305,1,0.01792,0.0001486,0.0001486,0.0001486
45,344.92,0.01493,1,1,0.00928,0.0001288,0.0001288,0.0001288
46,351.981,0.02139,1,1,0.00638,0.000109,0.000109,0.000109
47,359.047,0.01971,1,1,0.00531,8.92e-05,8.92e-05,8.92e-05
48,366.033,0.00828,1,1,0.00668,6.94e-05,6.94e-05,6.94e-05
49,373.331,0.01554,1,1,0.00545,4.96e-05,4.96e-05,4.96e-05
50,380.619,0.00955,1,1,0.006,2.98e-05,2.98e-05,2.98e-05
