epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.3569,1.80365,0.55932,0.9661,1.35163,0.00013,0.00013,0.00013
2,22.85,1.34138,0.88136,1,0.86587,0.000264654,0.000264654,0.000264654
3,28.3738,0.86645,0.9322,1,0.38479,0.000393764,0.000393764,0.000393764
4,33.8172,0.54879,0.98305,1,0.15398,0.00051733,0.00051733,0.00051733
5,43.2614,0.26933,1,1,0.06022,0.000635352,0.000635352,0.000635352
6,54.1116,0.16842,1,1,0.02641,0.00074783,0.00074783,0.00074783
7,63.0964,0.13584,1,1,0.02245,0.000854764,0.000854764,0.000854764
8,75.4496,0.13984,1,1,0.01297,0.0008614,0.0008614,0.0008614
9,82.5745,0.30411,1,1,0.02123,0.0008416,0.0008416,0.0008416
10,93.3716,0.06662,1,1,0.01099,0.0008218,0.0008218,0.0008218
11,104.033,0.06215,1,1,0.01176,0.000802,0.000802,0.000802
12,110.137,0.09103,1,1,0.00578,0.0007822,0.0007822,0.0007822
13,117.499,0.06089,1,1,0.0052,0.0007624,0.0007624,0.0007624
14,127.514,0.09521,1,1,0.01437,0.0007426,0.0007426,0.0007426
15,134.426,0.20589,1,1,0.00877,0.0007228,0.0007228,0.0007228
16,144.938,0.09794,1,1,0.00846,0.000703,0.000703,0.000703
17,154.526,0.07793,1,1,0.01295,0.0006832,0.0006832,0.0006832
18,163.86,0.25367,1,1,0.02256,0.0006634,0.0006634,0.0006634
19,171.533,0.10741,1,1,0.02256,0.0006436,0.0006436,0.0006436
20,178.488,0.07616,0.98305,1,0.03481,0.0006238,0.0006238,0.0006238
21,185.125,0.04383,0.98305,1,0.0376,0.000604,0.000604,0.000604
22,192.345,0.20689,0.98305,1,0.03499,0.0005842,0.0005842,0.0005842
23,199.182,0.07386,0.98305,1,0.05176,0.0005644,0.0005644,0.0005644
24,206.918,0.03926,0.98305,1,0.0708,0.0005446,0.0005446,0.0005446
25,212.838,0.02959,0.98305,1,0.06161,0.0005248,0.0005248,0.0005248
26,220.813,0.04401,0.98305,1,0.04693,0.000505,0.000505,0.000505
27,227.887,0.05182,0.98305,1,0.04426,0.0004852,0.0004852,0.0004852
28,233.206,0.06461,0.98305,1,0.05022,0.0004654,0.0004654,0.0004654
29,239.622,0.07856,0.98305,1,0.04739,0.0004456,0.0004456,0.0004456
30,248.635,0.0439,0.98305,1,0.03764,0.0004258,0.0004258,0.0004258
31,254.517,0.0451,1,1,0.02547,0.000406,0.000406,0.000406
32,259.97,0.04731,1,1,0.01978,0.0003862,0.0003862,0.0003862
33,264.808,0.05153,1,1,0.01512,0.0003664,0.0003664,0.0003664
34,270.471,0.06432,1,1,0.0118,0.0003466,0.0003466,0.0003466
35,276.64,0.17,1,1,0.01451,0.0003268,0.0003268,0.0003268
36,281.824,0.03115,1,1,0.01503,0.000307,0.000307,0.000307
37,287.074,0.17927,1,1,0.0091,0.0002872,0.0002872,0.0002872
38,292.216,0.01743,1,1,0.01088,0.0002674,0.0002674,0.0002674
39,298.046,0.03391,1,1,0.00971,0.0002476,0.0002476,0.0002476
40,305.285,0.02643,1,1,0.01314,0.0002278,0.0002278,0.0002278
41,312.649,0.12462,0.98305,1,0.01845,0.000208,0.000208,0.000208
42,318.615,0.02301,1,1,0.01486,0.0001882,0.0001882,0.0001882
43,324.781,0.11029,1,1,0.01171,0.0001684,0.0001684,0.0001684
44,332.009,0.24055,0.98305,1,0.02551,0.0001486,0.0001486,0.0001486
45,340.527,0.01723,1,1,0.01715,0.0001288,0.0001288,0.0001288
46,347.762,0.03737,1,1,0.01672,0.000109,0.000109,0.000109
47,357.495,0.01472,1,1,0.01985,8.92e-05,8.92e-05,8.92e-05
48,364.073,0.02174,1,1,0.01877,6.94e-05,6.94e-05,6.94e-05
49,371.015,0.0526,1,1,0.01732,4.96e-05,4.96e-05,4.96e-05
50,377.591,0.02808,1,1,0.01611,2.98e-05,2.98e-05,2.98e-05
